Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
7;11;236668000;257589600;KEY WEST;LIAHOLM;ZDPF7;LMDJ;90.0;33.19;;;;;0.0;0.0;6.686973958333333;3.8736059027777774;False;True;7;13;3773.94226240943;2904.1;15.0;3536.9;0.0;-0.0326335754024658;30.364880283215903;False;True;5;10;4111.186378650329;2864.5;14.0;3117.0;12.0;-0.1018631643411842;22.20008431767015;69.91693193453396;291.838806934534;1600.7968671883398;-88.03810936824095;33.11814063175908;9.498093;63.75285;-1.0;True;00:10:00;2020-01-04 20:39:00;58;1;11;A3TVL;encs_north;2;4.0;./img/236668000-257589600-A3TVL_-1.0.png;False
9;11;236668000;257906000;KEY WEST;GAASOE VIKING;ZDPF7;LGUY;90.0;78.0;;;;;0.0;0.0;6.66991512345679;5.984882330246914;False;True;7;13;4640.436105583181;2879.3;19.0;4008.0;15.0;-0.0326335754024658;30.364880283215903;False;True;8;21;4420.672891087962;2813.4;19.0;4240.2;0.0;-0.0152066269468749;27.087534496173987;45.52184424108458;274.4437192410846;2170.1480963289127;-100.3595438010479;46.652174948952094;9.498093;63.75285;-1.0;True;00:09:00;2020-01-04 20:26:00;45;1;10;A3TVL;encs_north;2;4.0;./img/236668000-257906000-A3TVL_-1.0.png;False
40;61;259371000;257045690;MS NORDNORGE;FOSNA ATLAS;3YGW;LH2289;123.3;15.0;;;;;0.0;0.0;6.974026813271605;4.670190972222223;False;False;5;5;4310.465289269831;;;;;0.0;0.0;False;True;3;9;5490.464738981576;59.5;12.0;575.2;10.0;0.6682752493814803;28.890958367606697;49.257205724456846;332.00720572445687;595.2218829982623;-46.90132110326405;275.786178896736;9.35613;63.567;-1.0;True;00:09:00;2020-01-06 11:33:00;11;1;10;WYIKX;encs_north;2;2.0;;
43;8;258219280;257252000;;GASO FREYJA;;LDZS;;85.0;;;;;0.0;0.0;2.5684349959935897;4.589809027777778;True;False;18;18;2909.354870069996;;;;;0.0;0.0;True;True;18;27;2909.354870069996;2841.0;23.0;941.1;0.0;0.9743448989369616;58.63321529377927;30.05961550882218;272.55961550882216;762.2887904200084;-85.64206749115955;211.1079325088405;8.909724;63.717045;-1.0;True;00:13:00;2020-01-06 17:05:00;27;12;25;X8GEN;encs_north;1;1.0;;
62;31;257020390;257743700;TARESUND;;LEMD;;17.17;;;;;;0.0;0.0;4.142014612268519;4.699664351851852;False;True;5;11;1620.7500640135777;1603.1;7.0;1665.9;0.0;0.0477913674383088;-25.59991013472132;False;True;3;11;2633.617293761561;2609.3;6.0;1665.9;0.0;-0.1546001046870904;15.447778503112746;27.35342756287456;341.9471775628746;305.3963490286102;87.81671436693154;55.47296436693151;8.847275;63.722942;-1.0;True;00:06:00;2020-01-07 06:25:00;8;1;7;3ONEJ;encs_north;1;1.0;./img/257020390-257743700-3ONEJ_-1.0.png;False
83;16;257057960;258476000;LAGATUN;LANGSUND;LESQ;LLPM;108.0;58.0;;;;;0.0;0.0;6.524334490740742;4.038522858796297;False;True;4;10;2101.211117427278;525.6;8.0;1037.6;0.0;0.5552187856554132;-1.235618636934077;False;False;6;6;1236.6216074450656;;;;;0.0;0.0;52.7881928264992;302.16319282649926;555.3297578916486;-36.80928005645775;221.2532199435423;10.145489;63.505233;-1.0;True;00:06:00;2020-01-07 20:38:00;9;3;9;2D59K;encs_north;1;1.0;./img/257057960-258476000-2D59K_-1.0.png;False
124;47;257203020;257086760;HELLEFISK;;LM2572;;11.0;;;;;;0.0;0.0;3.6320581597222223;5.3397725694444444;False;False;4;4;1335.4555814402868;;;;;0.0;0.0;False;True;3;6;1434.5285113931966;316.0;13.0;24.2;17.0;0.1119895691065111;8.313686954761282;68.53809527138145;266.7880952713815;699.6059033484504;106.89793485735449;62.52293485735452;8.638235;63.777605;-1.0;True;00:05:00;2020-01-14 08:58:00;7;2;7;VXKB7;encs_north;1;1.0;;
146;8;257391000;257053240;BJUGNHOLM;ELIAS;LAMN;LK6401;60.0;13.0;;;;;0.0;0.0;5.272553168402778;3.858333333333333;False;True;6;11;11118.765979190315;3109.6;26.0;505.7;26.0;-0.1409646720039128;-23.55274272150788;False;False;5;5;11613.516646563176;;;;;0.0;0.0;9.81508436538538;335.81508436538536;290.8134281631422;90.0053035468645;84.3490535468645;9.899533;63.939064;-1.0;True;00:08:00;2020-01-14 11:10:00;27;1;9;JMKAM;encs_north;1;3.0;./img/257391000-257053240-JMKAM_-1.0.png;False
148;8;257391000;257060100;BJUGNHOLM;257060100;LAMN;;60.0;0.0;;0.0;;0.0;0.0;0.0;5.196692708333333;4.673875144675926;False;False;25;25;4470.393554263427;;;;;0.0;0.0;False;False;25;25;4470.393554263427;;;;;0.0;0.0;106.67588226495673;330.5821322649567;319.86625329971696;78.39509736747756;73.52009736747753;9.945352;63.987611;-1.0;True;00:06:00;2020-01-14 11:14:00;31;22;28;JMKAM;encs_north;2;2.0;;
160;5;231251000;220000000;HAV STREYM;NORDVAAG;OZ2144;OYFD2;83.0;88.8;;;;;0.0;0.0;3.273303493923612;5.837738715277778;False;False;11;11;2097.555980182652;;;;;0.0;0.0;False;True;11;17;2097.555980182652;367.6;14.0;1376.4;0.0;0.0115154834449877;50.76357699017552;21.561390106123653;326.90514010612367;230.29520186056968;177.16670469168778;176.34248594168778;10.3234;64.26454;-1.0;True;00:08:00;2021-02-02 08:38:00;16;7;15;NTXDF;encs_north;1;1.0;;
