Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
15;3;229061000;257178000;SEA CARGO EXPRESS;NYKSUND;9HA3034;LEET;119.0;82.0;;;;;0.0;0.0;4.835777777777778;7.2633125;False;True;2;8;3282.55681138956;493.0;6.0;1670.6;0.0;-0.6660116274781482;-31.5794261111603;False;False;3;3;2593.6522839424715;;;;;0.0;0.0;13.22928163817308;329.4792816381731;347.29405408097585;137.58533161449202;134.08533161449202;5.18346;60.338055;-1.0;True;00:05:00;2019-01-01 14:47:00;7;1;6;7VPEZ;encs_west;1;1.0;./img/229061000-257178000-7VPEZ_-1.0.png;False
18;18;257071700;257178000;SVEIO;NYKSUND;LACK;LEET;50.6;82.0;;;;;0.0;0.0;5.8097390046296296;7.185074074074074;True;False;8;8;3025.639537354044;;;;;0.0;0.0;True;True;2;7;5195.408019588067;1109.9;9.0;1196.9;15.0;-0.4417494241002595;-28.959663420507045;28.631084738799863;294.2560847387999;971.6008696990768;145.80854304824766;25.183543048247667;5.564013;59.745111;-1.0;True;00:15:00;2019-01-01 17:39:00;17;1;16;PSW4V;encs_west;1;1.0;;
54;26;257029700;230942970;VIKINGEN;DELFI;LEVF;OJQQ;84.0;28.43;;;;;0.0;0.0;6.193428819444444;3.596937433226496;False;False;7;7;2319.526318022712;;;;;0.0;0.0;False;True;13;19;896.0035993231211;806.4;0.0;1595.9;0.0;-0.0304269501472902;-18.60304521420448;82.50569291506667;311.0056929150668;800.0052812325786;10.090707946628951;240.96570794662887;5.592842;59.79746;-1.0;True;00:13:00;2020-01-01 06:47:00;14;1;14;KJZY7;encs_west;1;1.0;;
85;62;257694000;258356000;CLIPPER JUPITER;FRAMFJORD;LATV7;LDXU3;199.0;67.1;;;;;0.0;0.0;7.261001519097222;4.450145399305556;False;True;6;14;7077.691050052994;88.5;18.0;1062.0;16.0;0.0467993327228088;-19.18677342309861;False;True;2;9;8880.481302271848;1711.2;20.0;433.2;17.0;-0.5542314562169639;40.68548264365418;84.15872842525181;330.0962284252518;740.6047326340843;144.93932681394398;66.595576813944;5.4038;59.0956;-1.0;True;00:08:00;2020-01-01 09:03:00;18;1;9;SPHYV;encs_west;1;1.0;./img/257694000-258356000-SPHYV_-1.0.png;True
87;62;258031000;258349500;AQUA FJORD;;LMPG;;60.0;14.99;;;;;0.0;0.0;5.795538194444444;4.047007619598765;False;True;7;12;1804.5308005129743;113.4;10.0;1645.6;0.0;0.4172418904966273;-50.117515331508265;False;True;5;11;2811.374199568605;205.0;10.0;1097.5;0.0;-0.3328137974476761;-32.71016843938207;25.723115818629942;330.28561581863;500.1604642512268;97.94542903574497;59.32042903574495;5.184412;60.388717;-1.0;True;00:09:00;2020-01-01 08:55:00;10;1;10;SPHYV;encs_west;2;2.0;./img/258031000-258349500-SPHYV_-1.0.png;False
95;20;257056190;257055860;LYSOY;SAMNOY;LEVT;LEWS;134.0;134.0;;;;;0.0;0.0;5.483756727430556;8.44975;False;True;5;11;4974.408202992598;454.0;11.0;1696.9;0.0;6.060175714117513;20.548529382445828;False;False;6;6;4206.893605738085;;;;;0.0;0.0;16.59677724168109;340.12802724168114;532.0967017375709;44.20807725895657;47.83307725895654;5.426415;60.14345;-1.0;True;00:05:00;2020-01-01 09:07:00;10;4;9;4JT77;encs_west;1;1.0;./img/257056190-257055860-4JT77_-1.0.png;False
120;37;257336400;219011205;NARASUND;ESVAGT CONTENDER;LAHN;OZAS2;30.0;48.0;;;;;0.0;0.0;4.1778515625;3.632058159722223;False;True;3;11;2125.0281527546867;2140.4;0.0;1523.0;20.0;-0.2316188694737482;-107.38290812061643;False;False;3;3;2125.0281527546867;;;;;0.0;0.0;64.0788574698801;320.5788574698801;959.4080779313924;118.06675382035937;72.69175382035937;5.200193;60.228067;-1.0;True;00:05:00;2020-01-01 10:33:00;8;1;6;NFJ22;encs_west;1;1.0;./img/257336400-219011205-NFJ22_-1.0.png;False
124;34;257055930;257152000;HUFTAROY;NORBAR;LEWQ;LCSQ;134.0;82.0;;;;;0.0;0.0;7.458942057291666;5.384250578703704;False;True;4;5;2309.390683708586;216.8;11.0;867.3;9.0;2.540052763962553;17.56388863497622;False;False;6;6;1670.8289738928993;;;;;0.0;0.0;66.713531659353;310.807281659353;1088.0673922142903;33.3975320954274;244.99750768136485;5.33468;59.971691;-1.0;True;00:06:00;2020-01-01 10:37:00;9;3;9;ECFVN;encs_west;1;1.0;./img/257055930-257152000-ECFVN_-1.0.png;False
132;4;259592000;257338000;FOLDOY;FJORDLYS;LJTJ;LNHP;65.3;28.0;;;;;0.0;0.0;5.812954282407408;12.28504050925926;False;False;5;5;2765.640867864084;;;;;0.0;0.0;False;True;7;12;1666.9452930435373;1284.3;8.0;433.6;0.0;-4.275053376562536;124.99414327763986;40.20480644889301;256.486056448893;318.8201060159158;-7.3333772447807775;50.79162275521925;5.990535;59.339918;-1.0;True;00:06:00;2020-01-01 11:03:00;12;2;8;TK14K;encs_west;1;1.0;;
141;53;258356000;258310000;FRAMFJORD;BERGEN STAR;LDXU3;LNVH;67.1;90.0;;;;;0.0;0.0;4.939470486111111;5.680706845238094;False;True;5;10;3215.963658065806;266.5;9.0;527.9;0.0;-0.1009631638946912;-10.059000029287134;False;True;3;9;4408.218964615979;259.0;9.0;255.0;0.0;0.1805919827008097;2.2633734600299493;14.619555165442584;338.6195551654426;194.36733264620315;46.72596023522833;37.7259602352283;5.24916;59.41;-1.0;True;00:07:00;2020-01-01 11:21:00;10;1;8;WCB8Y;encs_west;1;1.0;./img/258356000-258310000-WCB8Y_-1.0.png;False
164;28;314180000;257492000;WILSON CORK;KV BERGEN;8PRO;LAQM;100.0;93.2;;;;;0.0;0.0;7.246934678819445;4.578254123263889;False;False;5;5;2788.538922088052;;;;;0.0;0.0;False;False;5;5;2788.538922088052;;;;;0.0;0.0;45.42182298795127;332.04682298795126;545.7204870627475;-26.40870938554704;280.341290614453;5.169171;60.363057;-1.0;True;00:08:00;2020-01-01 11:38:00;9;1;9;JAQSS;encs_west;1;1.0;;
175;56;314180000;257492000;WILSON CORK;KV BERGEN;8PRO;LAQM;100.0;93.2;;;;;0.0;0.0;7.246934678819445;4.578254123263889;False;False;5;5;2796.4578398395133;;;;;0.0;0.0;False;False;5;5;2796.4578398395133;;;;;0.0;0.0;44.88182686614056;331.50682686614056;560.0925369972283;-26.98203296140519;279.7679670385948;5.169171;60.363057;-1.0;True;00:08:00;2020-01-01 11:38:00;9;1;9;CF1BG;encs_west;1;1.0;;
183;39;257774600;258487000;UTNE;RONJA STRAND;LCBJ;LDQO;49.9;85.0;;;;;0.0;0.0;5.196692708333333;3.292214781746032;False;False;4;4;3739.487034340401;;;;;0.0;0.0;False;True;2;5;4202.9908696070215;754.3;15.0;716.5;20.0;-0.0487995405346977;-12.236944624845162;78.71795321799567;329.4054532179957;1362.5744786983191;150.08689858793176;48.21189858793177;5.550667;59.808267;-1.0;True;00:07:00;2020-01-01 11:50:00;16;1;8;RCBK2;encs_west;2;2.0;;
189;79;257029700;257774600;VIKINGEN;UTNE;LEVF;LCBJ;84.0;49.9;;;;;0.0;0.0;7.149973958333334;5.195888888888889;False;False;3;3;962.9001869352778;;;;;0.0;0.0;False;True;2;10;1235.0405539900296;357.2;5.0;736.4;0.0;0.007253644301238;-32.968094998584085;75.85673158948639;300.48173158948634;454.0855095684133;16.364196665884084;216.61419666588407;5.566694;59.7852;-1.0;True;00:05:00;2020-01-01 11:49:00;7;1;6;XCGWZ;encs_west;1;1.0;;
220;10;257949600;259393000;LOSNA;PIONEER KNUTSEN;LDPM;LMIK;76.0;69.0;;;;;0.0;0.0;6.872082093253968;5.4688430059523805;False;True;6;13;2630.875513968684;133.5;10.0;3012.2;0.0;-0.8207084861751932;-38.81285362223399;False;False;4;4;3743.652721607602;;;;;0.0;0.0;45.25235488533292;340.50235488533286;535.9100297624584;125.35068172860886;62.725681728608855;5.066957;61.112755;-1.0;True;00:07:00;2020-01-01 12:27:00;10;1;8;OK0LI;encs_west;1;1.0;./img/257949600-259393000-OK0LI_-1.0.png;False
223;19;257952600;258099500;KRISTIAN G.JEBSEN 2;;LECM;;17.0;;;;;;0.0;0.0;18.42675694444444;3.477724826388889;False;True;5;10;12930.776404377271;9859.8;11.0;1201.4;15.0;0.7387655011060001;-38.82269451976284;False;False;5;5;12930.776404377271;;;;;0.0;0.0;46.73574378895408;321.2357437889541;225.10997312424905;42.57052698323952;54.07052698323949;5.22042;60.3983;-1.0;True;00:05:00;2020-01-01 12:43:00;16;3;8;OWSRR;encs_west;3;4.0;./img/257952600-258099500-OWSRR_-1.0.png;False
230;19;259405000;257952600;EIDSVAAG MARIN;KRISTIAN G.JEBSEN 2;JWLR;LECM;58.6;17.0;;;;;0.0;0.0;5.651999007936508;18.27655753968254;False;False;4;4;5353.313830703372;;;;;0.0;0.0;False;True;5;10;4103.559978847635;2205.7;7.0;3589.1;0.0;0.7387655011060001;-38.82269451976284;67.47607215537693;299.7260721553769;798.3087435322275;122.3938296668926;342.8938296668926;5.16809;60.36948;-1.0;True;00:07:00;2020-01-01 12:35:00;8;1;8;OWSRR;encs_west;1;1.0;;
236;76;258672000;259386000;RONJA POLARIS;STAVANGERFJORD;LDHS;LICY;75.81;129.8;;;;;0.0;0.0;5.215984375000001;6.410058159722223;False;True;4;9;1272.0430338632382;747.0;5.0;1835.6;0.0;0.0139209551907959;11.268498775136468;False;True;5;9;963.3407133511988;796.2;0.0;1835.6;0.0;0.1251302828700136;10.952735099406462;7.484471873962646;286.7344718739626;631.4000000000001;105.375;19.625000000000025;5.491636;59.173911;-1.0;True;00:05:00;2020-01-01 12:36:00;6;1;6;7A898;encs_west;1;1.0;./img/258672000-259386000-7A898_-1.0.png;True
249;43;257152000;257028430;NORBAR;;LCSQ;;82.0;;;;;;0.0;0.0;5.2674288194444445;3.673454861111111;False;True;2;7;4932.313312229872;3022.7;8.0;716.2;11.0;-0.0787892616873549;-27.317631190278103;False;True;3;9;4574.886504603142;2849.9;9.0;430.2;11.0;-0.3795576925396766;40.33885386587818;54.0801766827755;319.9551766827755;219.6623317731076;-22.745845532655068;333.00415446734496;5.185568;60.336867;-1.0;True;00:05:00;2020-01-01 12:58:00;12;1;6;5YLB5;encs_west;3;4.0;./img/257152000-257028430-5YLB5_-1.0.png;False
250;43;257152000;257613890;NORBAR;;LCSQ;;82.0;;;;;;0.0;0.0;5.2674288194444445;2.5621744791666665;False;True;2;7;4865.760993924796;2594.7;9.0;299.7;13.0;-0.0787892616873549;-27.317631190278103;False;True;4;9;4245.487604504344;2189.1;11.0;58.4;13.0;-0.4343591215273725;48.33990945015009;66.08538612514586;326.4603861251458;152.8518563838841;115.33882360469624;113.58882360469624;5.185568;60.336867;-1.0;True;00:05:00;2020-01-01 13:00:00;14;1;6;5YLB5;encs_west;3;4.0;./img/257152000-257613890-5YLB5_-1.0.png;False
