Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
0;2;258157000;258434000;SPITSBERGEN;VARGOEY;LFEK;LMEU;101.0;55.56;;;;;0.0;0.0;7.607576884920637;4.526651785714286;False;False;4;4;8265.101633373906;;;;;0.0;0.0;False;False;4;4;8265.101633373906;;;;;0.0;0.0;3.1493334432650424;355.11808344326505;597.3930448205779;-55.7252449948732;296.39975500512674;8.36609;63.3527;3.0;True;00:07:00;2020-01-02 03:04:00;15;1;8;7194L;encs_north;1;1.0;;
2;25;257349400;257355400;RAUMA;ROMSDAL;JXVE;LAHS;84.1;84.1;;;;;0.0;0.0;4.59583767361111;5.289801793981481;False;True;4;12;4157.312326491716;192.3;10.0;1417.0;0.0;0.4686661103392286;-10.40596140467818;False;False;6;6;2963.13371449889;;;;;0.0;0.0;-4.302739512210953;359.63476048778904;396.5567929061378;113.26833255257276;112.83083255257276;8.216306;63.064609;3.0;True;00:06:00;2020-01-02 08:11:00;11;3;9;G7W2E;encs_north;1;1.0;./img/257349400-257355400-G7W2E_3.0.png;True
3;25;257355400;257349400;ROMSDAL;RAUMA;LAHS;JXVE;84.1;84.1;;;;;0.0;0.0;5.289801793981481;4.59583767361111;False;False;6;6;2963.13371449889;;;;;0.0;0.0;False;True;4;12;4157.312326491716;192.3;10.0;1417.0;0.0;0.4686661103392286;-10.40596140467818;-0.3652395122109337;355.6972604877891;396.5567929061378;112.83083255257276;113.26833255257276;8.14918;63.0561;3.0;True;00:06:00;2020-01-02 08:11:00;11;3;9;G7W2E;encs_north;1;1.0;;
20;12;257336000;304145000;GROTLE;ANNA LEHMANN;LGCT;V2BC8;21.0;90.0;;;;;0.0;0.0;5.123545138888888;5.092196180555555;False;False;3;3;4007.872897186236;;;;;0.0;0.0;False;False;3;3;4007.872897186236;;;;;0.0;0.0;5.501564660511785;7.095314660511813;642.927873093085;65.18306653444192;64.18306653444192;9.310364;63.550018;3.0;True;00:05:00;2020-01-05 03:56:00;9;1;6;33UTT;encs_north;1;1.0;;
21;12;257906000;304219000;GAASOE VIKING;SPLITTNES;LGUY;V2EA7;78.0;166.2;;;;;0.0;0.0;5.752131944444445;5.216386284722222;False;False;6;6;3995.964724569024;;;;;0.0;0.0;False;False;6;6;3995.964724569024;;;;;0.0;0.0;3.143187311462244;2.3619373114622606;400.5405472608228;146.65663685018916;145.0316368501892;9.24221;63.538033;3.0;True;00:10:00;2020-01-05 03:59:00;12;1;11;33UTT;encs_north;1;1.0;;
22;12;304145000;257336000;ANNA LEHMANN;GROTLE;V2BC8;LGCT;90.0;21.0;;;;;0.0;0.0;5.092196180555555;5.123545138888888;False;False;3;3;4007.872897186236;;;;;0.0;0.0;False;False;3;3;4007.872897186236;;;;;0.0;0.0;7.095314660511813;5.501564660511785;642.927873093085;64.18306653444192;65.18306653444192;9.374413;63.572033;3.0;True;00:05:00;2020-01-05 03:56:00;9;1;6;33UTT;encs_north;2;3.0;;
23;12;304145000;304219000;ANNA LEHMANN;SPLITTNES;V2BC8;V2EA7;90.0;166.2;;;;;0.0;0.0;5.129077308006536;5.937388684640523;False;False;9;9;8690.506538171408;;;;;0.0;0.0;False;False;9;9;8690.506538171408;;;;;0.0;0.0;2.9026225104809504;0.4963725104809346;527.6420093207134;92.44545917528606;94.03920917528608;9.341953;63.563933;3.0;True;00:17:00;2020-01-05 04:08:00;21;1;18;33UTT;encs_north;2;3.0;;
25;12;304219000;257906000;SPLITTNES;GAASOE VIKING;V2EA7;LGUY;166.2;78.0;;;;;0.0;0.0;5.216386284722222;5.752131944444445;False;False;6;6;3995.964724569024;;;;;0.0;0.0;False;False;6;6;3995.964724569024;;;;;0.0;0.0;2.3619373114622606;3.143187311462244;400.5405472608228;145.0316368501892;146.65663685018916;9.174345;63.518627;3.0;True;00:10:00;2020-01-05 03:59:00;12;1;11;33UTT;encs_north;2;2.0;;
26;12;304219000;304145000;SPLITTNES;ANNA LEHMANN;V2EA7;V2BC8;166.2;90.0;;;;;0.0;0.0;5.937388684640523;5.129077308006536;False;False;9;9;8690.506538171408;;;;;0.0;0.0;False;False;9;9;8690.506538171408;;;;;0.0;0.0;0.4963725104809346;2.9026225104809504;527.6420093207134;94.03920917528608;92.44545917528606;9.192352;63.523164;3.0;True;00:17:00;2020-01-05 04:08:00;21;1;18;33UTT;encs_north;2;2.0;;
38;61;257390400;257355400;SVANOY;ROMSDAL;LEVE;LAHS;84.0;84.1;;;;;0.0;0.0;4.415983072916666;5.246931423611112;False;False;14;14;2856.1116224685647;;;;;0.0;0.0;False;False;14;14;2856.1116224685647;;;;;0.0;0.0;4.971536773492689;359.0340367734927;336.0592953631851;109.41320727747684;120.28820727747684;8.205608;63.064139;3.0;True;00:06:00;2020-01-06 11:41:00;19;11;17;WYIKX;encs_north;1;1.0;;
39;61;257906000;259371000;GAASOE VIKING;MS NORDNORGE;LGUY;3YGW;78.0;123.3;;;;;0.0;0.0;6.348451140873016;6.944999999999999;False;True;13;19;3307.846551761429;441.2;16.0;2229.7;0.0;-0.2243932989240091;40.94780073300591;False;False;8;8;7299.709389420918;;;;;0.0;0.0;-1.7909201488039703;357.11532985119607;717.6440482579085;-64.84557391155747;244.05286358844253;9.237662;63.540491;3.0;True;00:14:00;2020-01-06 11:39:00;17;1;15;WYIKX;encs_north;1;1.0;./img/257906000-259371000-WYIKX_3.0.png;False
41;61;259371000;257906000;MS NORDNORGE;GAASOE VIKING;3YGW;LGUY;123.3;78.0;;;;;0.0;0.0;6.944999999999999;6.348451140873016;False;False;8;8;7299.709389420918;;;;;0.0;0.0;False;True;13;19;3307.846551761429;441.2;16.0;2229.7;0.0;-0.2243932989240091;40.94780073300591;-2.8846701488039344;358.209079851196;717.6440482579085;-115.94713641155744;295.1544260884425;9.3341;63.5616;3.0;True;00:14:00;2020-01-06 11:39:00;17;1;15;WYIKX;encs_north;2;2.0;;
44;17;257271600;258613000;HAVBRYN;NORTH BARENTS;LDBT;LMZN;69.9;94.0;;;;;0.0;0.0;6.831029885912698;4.383973834325397;False;False;8;8;6673.894179562635;;;;;0.0;0.0;False;False;8;8;6673.894179562635;;;;;0.0;0.0;3.042052715254318;2.542052715254312;475.4775704489096;90.85807458268548;94.10807458268548;9.26342;63.58186;3.0;True;00:14:00;2020-01-07 03:23:00;18;1;15;49VQ6;encs_north;1;1.0;;
45;17;258613000;257271600;NORTH BARENTS;HAVBRYN;LMZN;LDBT;94.0;69.9;;;;;0.0;0.0;4.383973834325397;6.831029885912698;False;False;8;8;6673.894179562635;;;;;0.0;0.0;False;False;8;8;6673.894179562635;;;;;0.0;0.0;2.542052715254312;3.042052715254318;475.4775704489096;94.10807458268548;90.85807458268548;9.250385;63.64168;3.0;True;00:14:00;2020-01-07 03:23:00;18;1;15;49VQ6;encs_north;1;1.0;;
46;34;231766000;259279000;SILVER PEARL;STEINAR HALTBAKK;OZ2096;LEOQ;95.55;45.0;;;;;0.0;0.0;7.914750744047619;3.799195188492063;False;False;4;4;3993.544015032264;;;;;0.0;0.0;False;False;4;4;3993.544015032264;;;;;0.0;0.0;4.50937064206369;2.66562064206369;436.1561303019821;122.80353753955224;121.5847875395523;7.926218;63.21564;3.0;True;00:07:00;2020-01-07 06:16:00;10;1;8;FDVD9;encs_north;1;1.0;;
49;34;257364000;257367000;UNITAR;QUO VADIS;LANA5;LHRZ;90.0;34.07;;;;;0.0;0.0;4.030867435515873;5.309801587301587;False;False;8;8;4853.5250869857455;;;;;0.0;0.0;False;True;3;9;7636.106349442757;613.2;15.0;214.1;16.0;0.0289800802521527;7.265183172675297;5.392076882074287;1.0170768820743012;330.85495311389855;54.12897852606256;49.94147852606256;9.148483;63.51542;3.0;True;00:14:00;2020-01-07 06:22:00;16;1;15;FDVD9;encs_north;1;1.0;;
50;34;257367000;257364000;QUO VADIS;UNITAR;LHRZ;LANA5;34.07;90.0;;;;;0.0;0.0;5.309801587301587;4.030867435515873;False;True;3;9;7636.106349442757;613.2;15.0;214.1;16.0;0.0289800802521527;7.265183172675297;False;False;8;8;4853.5250869857455;;;;;0.0;0.0;1.0170768820743012;5.392076882074287;330.85495311389855;49.94147852606256;54.12897852606256;9.039505;63.48542;3.0;True;00:14:00;2020-01-07 06:22:00;16;1;15;FDVD9;encs_north;1;1.0;./img/257367000-257364000-FDVD9_3.0.png;False
53;34;259279000;231766000;STEINAR HALTBAKK;SILVER PEARL;LEOQ;OZ2096;45.0;95.55;;;;;0.0;0.0;3.799195188492063;7.914750744047619;False;False;4;4;3993.544015032264;;;;;0.0;0.0;False;False;4;4;3993.544015032264;;;;;0.0;0.0;2.66562064206369;4.50937064206369;436.1561303019821;121.5847875395523;122.80353753955224;7.99389;63.2345;3.0;True;00:07:00;2020-01-07 06:16:00;10;1;8;FDVD9;encs_north;2;2.0;;
