Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
11;11;257038590;259134000;WITH FROHAVET;;LFID;;82.0;37.65;;;;;0.0;0.0;7.726788837448559;4.776920331790124;True;True;3;9;5732.8012358706455;1983.2;21.0;3462.5;16.0;0.0353555654809061;-18.411405130936608;True;True;3;11;5732.8012358706455;1983.2;21.0;3218.4;18.0;0.2260470929797482;-2.8886172437892306;178.20121855117745;342.7012185511774;1294.83472690533;145.27300761769396;51.77300761769399;9.537343;63.737086;-2.0;True;00:27:00;2020-01-04 20:09:00;28;1;28;A3TVL;encs_north;1;1.0;./img/257038590-259134000-A3TVL_-2.0.png;False
15;11;257906000;236668000;GAASOE VIKING;KEY WEST;LGUY;ZDPF7;78.0;90.0;;;;;0.0;0.0;6.1062453258547;4.234273504273505;False;False;28;28;3435.1801262815898;;;;;0.0;0.0;False;False;28;28;3435.1801262815898;;;;;0.0;0.0;-172.59121959082375;341.95565540917625;2170.1480963289127;46.652174948952094;259.6404561989521;9.554427;63.777633;-2.0;True;00:13:00;2020-01-04 20:26:00;45;22;35;A3TVL;encs_north;1;1.0;;
16;11;257906000;257589600;GAASOE VIKING;LIAHOLM;LGUY;LMDJ;78.0;33.19;;;;;0.0;0.0;6.012318250868056;3.951526150173612;True;True;8;21;1242.4430811912475;161.0;15.0;529.7;0.0;-0.0152066269468749;27.087534496173987;True;True;5;10;1656.1011110436468;514.5;16.0;579.5;13.0;-0.1018631643411842;22.20008431767015;-172.23053956484347;0.7694604351564994;201.8099105594165;-88.13236673288459;89.56782857961541;9.524127;63.715164;-2.0;True;00:16:00;2020-01-04 19:59:00;18;1;17;A3TVL;encs_north;2;3.0;./img/257906000-257589600-A3TVL_-2.0.png;False
28;12;311000752;304145000;SILVER FJORD;ANNA LEHMANN;C6DQ8;V2BC8;77.7;90.0;;;;;0.0;0.0;5.624056712962962;5.092196180555555;False;False;30;30;4493.769397732821;;;;;0.0;0.0;False;False;30;30;4493.769397732821;;;;;0.0;0.0;-117.16394295988322;342.7110570401168;4374.269681901198;-146.9828517078858;314.64214829211414;9.244084;63.576111;-2.0;True;00:06:00;2020-01-05 04:20:00;33;27;33;33UTT;encs_north;1;1.0;;
31;31;236669000;257882000;KEY NORTH;DANTIC;ZDPF8;LCMZ;90.0;63.17;;;;;0.0;0.0;6.841508246527777;4.797127459490741;False;False;7;7;1372.1968845613958;;;;;0.0;0.0;False;False;7;7;1372.1968845613958;;;;;0.0;0.0;163.37420252175934;338.8742025217594;440.7701668670448;76.3257983566094;261.63829835660937;8.489375;63.395545;-2.0;True;00:12:00;2020-01-05 10:21:00;18;1;13;INJHL;encs_north;1;1.0;;
52;34;257684700;259279000;TYRHAUG;STEINAR HALTBAKK;LGJU;LEOQ;41.0;45.0;;;;;0.0;0.0;14.147222222222222;3.799195188492063;False;True;3;9;4190.50313924235;1661.2;8.0;1585.4;0.0;0.0641065698061265;-1.7081476662181525;False;False;4;4;3618.4800524529646;;;;;0.0;0.0;-173.87914598779096;348.120854012209;1540.0377787573912;113.52693735223892;282.9019373522389;8.073143;63.251833;-2.0;True;00:07:00;2020-01-07 06:15:00;9;1;8;FDVD9;encs_north;2;2.0;./img/257684700-259279000-FDVD9_-2.0.png;False
61;31;231766000;257071530;SILVER PEARL;KRABBSUND;OZ2096;LAHM8;95.55;112.0;;;;;0.0;0.0;8.06398365162037;5.767404513888889;False;False;7;7;1603.31829965232;;;;;0.0;0.0;False;False;7;7;1603.31829965232;;;;;0.0;0.0;174.44192401920674;351.03567401920674;878.3681232831744;98.52885530131503;275.93510530131505;8.042332;63.24494;-2.0;True;00:12:00;2020-01-07 06:34:00;17;1;13;3ONEJ;encs_north;1;1.0;;
72;22;257998600;257451500;257998600;;;;0.0;;0.0;;0.0;;0.0;0.0;3.1586085069444447;1.2963598090277777;False;True;5;11;3526.5909459419854;3761.2;0.0;4409.1;0.0;0.5946962276843761;126.19175822351582;False;True;7;15;3311.5726188625235;3558.6;0.0;5585.4;0.0;-0.0963290029498521;27.11464024761583;-134.30492308173953;349.34546754326044;3244.6093339568606;-135.10190210620465;267.7965353937953;8.257408;63.362409;-2.0;True;00:05:00;2020-01-07 10:55:00;8;3;8;213W2;encs_north;2;2.0;./img/257998600-257451500-213W2_-2.0.png;False
99;64;257928800;259983000;RS KLAVENESS MARINE;KRISTIAN WITH;LEBG;LCQJ;17.0;90.0;;;;;0.0;0.0;16.56269965277778;6.173333333333332;False;True;4;9;2111.7114812397986;422.3;6.0;1792.9;0.0;0.3659566952556883;2.073557904837547;False;False;4;4;2111.7114812397986;;;;;0.0;0.0;178.85119345222344;357.5386934522234;348.191355435489;126.31818989325076;301.00568989325075;8.600413;63.414667;-2.0;True;00:06:00;2020-01-09 13:08:00;7;1;7;1W3F5;encs_north;1;1.0;./img/257928800-259983000-1W3F5_-2.0.png;True
105;10;257130000;215349000;HANNAH KRISTINA;CSL TRIMNES;LEUK;9HA2707;101.26;150.0;;;;;0.0;0.0;7.688167613636364;2.8670778093434346;False;False;6;6;2258.608361358825;;;;;0.0;0.0;False;True;2;5;3368.634448853124;640.3;14.0;802.4;12.0;-0.5201865186416548;-3.464693667376726;165.61440209882429;2.364402098824269;526.1558799443396;94.3467279171096;275.2217279171096;9.261262;63.661675;-2.0;True;00:11:00;2020-01-09 17:42:00;13;1;12;D795T;encs_north;1;1.0;;
