Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
4;4;477967700;255805907;477967700;255805907;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.87884375;6.302346354166667;False;False;6;6;5154.160266231543;;;;;0.0;0.0;False;False;6;6;5154.160266231543;;;;;0.0;0.0;171.6924430406283;13.97369304062829;3878.7788284458807;-132.6115063246515;69.48224367534851;9.419673;57.685967;-2.0;True;00:10:00;2018-01-01 11:06:00;15;1;11;I0DMK;encs_south\2018-01\2018-01-01 - 2018-01-08;1;2.0;;
12;5;305425000;220138000;305425000;220138000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.635529513888888;1.311732855902778;False;False;4;4;5875.475188442208;;;;;0.0;0.0;False;False;4;4;5875.475188442208;;;;;0.0;0.0;122.33788768937926;328.9316376893793;2690.8600725418632;61.511273608401495;266.0112736084015;8.52096;57.7345;-2.0;True;00:06:00;2018-01-01 17:01:00;20;1;7;02GN2;encs_south\2018-01\2018-01-01 - 2018-01-08;1;1.0;;
21;4;250004289;219023313;250004289;SAJONI;;OWDA;0.0;28.0;0.0;8.0;0.0;30.0;0.0;0.0;5.2681433256172845;1.0630884291409466;True;False;14;14;7314.144970534834;;;;;0.0;0.0;True;False;14;14;7314.144970534834;;;;;0.0;0.0;165.74414881211024;17.931648812110236;3346.9260673041463;-122.57219121321349;80.70905878678649;8.447226;57.726142;-2.0;True;00:27:00;2018-01-01 20:34:00;39;1;28;H3DQ4;encs_south\2018-01\2018-01-01 - 2018-01-08;2;2.0;;
26;7;314018000;257898500;314018000;ROSENVOLL;;LAPL;0.0;19.0;0.0;6.0;0.0;30.0;0.0;0.0;6.056511574074074;3.77942505787037;False;False;16;16;3525.1826193830007;;;;;0.0;0.0;False;False;16;16;3525.1826193830007;;;;;0.0;0.0;-147.21019971807985;23.72730028192018;790.6567649745369;-66.21427266789343;107.5357273321066;7.860675;57.8857;-2.0;True;00:30:00;2018-01-01 22:45:00;40;1;31;KF3FO;encs_south\2018-01\2018-01-01 - 2018-01-08;1;2.0;;
31;4;259468000;240891000;259468000;240891000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.822919921875;5.613925238715278;False;False;9;9;4991.801347209242;;;;;0.0;0.0;False;False;9;9;4991.801347209242;;;;;0.0;0.0;166.1081196286472;322.7018696286472;4602.518671336382;126.19665290717016;299.5091529071702;8.265708;57.487399;-2.0;True;00:16:00;2019-01-01 07:53:00;32;1;17;X2PHU;encs_south\2019-01\2019-01-01 - 2019-01-08;1;1.0;;
35;6;219017895;219959000;219017895;MADSALUNE;;OZZH;0.0;24.0;0.0;6.0;0.0;30.0;0.0;0.0;3.802248658459596;1.660161182133839;True;False;26;26;5199.454488693981;;;;;0.0;0.0;True;True;25;31;5349.086786545906;4566.5;35.0;4290.6;36.0;-0.04871237378954;-3.5360708549421296;-116.96979582900748;343.6552041709925;4324.569487243788;-146.1081442892399;302.07935571076007;8.070334;57.388049;-2.0;True;00:11:00;2018-01-02 04:06:00;35;21;32;DI0EI;encs_south\2018-01\2018-01-01 - 2018-01-08;1;1.0;;
38;5;538002774;220043000;538002774;HM120 ASTORIA;;OWBW;0.0;23.0;0.0;6.0;0.0;30.0;0.0;0.0;5.580516493055555;1.4696080186631946;False;False;47;47;4018.668687513315;;;;;0.0;0.0;False;True;42;48;5309.4017224165655;1709.5;60.0;1909.0;59.0;0.0572861210929717;-12.085579114150091;-168.22274284188927;349.0272571581108;1885.7449588955544;130.80463158791002;278.0546315879101;8.755825;57.480253;-2.0;True;00:16:00;2018-01-02 10:32:00;60;39;55;6UTY7;encs_south\2018-01\2018-01-01 - 2018-01-08;1;1.0;;
39;9;538002774;220043000;538002774;HM120 ASTORIA;;OWBW;0.0;23.0;0.0;6.0;0.0;30.0;0.0;0.0;5.590966145833333;1.4818411458333334;False;False;6;6;3269.9263860215574;;;;;0.0;0.0;False;False;6;6;3269.9263860215574;;;;;0.0;0.0;-165.771348134968;343.228651865032;1885.875661330831;130.80923099986708;278.0592309998671;8.741396;57.474409;-2.0;True;00:10:00;2018-01-02 10:32:00;16;1;11;L62A4;encs_south\2018-01\2018-01-01 - 2018-01-08;1;1.0;;
52;6;538002922;257742000;538002922;257742000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.590974893162395;3.1543729967948715;False;False;7;7;5549.65686326641;;;;;0.0;0.0;False;False;7;7;5549.65686326641;;;;;0.0;0.0;-170.88330220886183;345.89794779113817;3279.158192280451;126.22142229396592;281.846422293966;9.488053;57.745467;-2.0;True;00:13:00;2019-01-02 07:18:00;20;1;14;24E0K;encs_south\2019-01\2019-01-01 - 2019-01-08;1;1.0;;
71;4;248621000;235050837;248621000;235050837;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.449894205729167;3.1833761935763887;False;True;6;11;1738.932919925319;1345.3;16.0;1578.3;0.0;0.142996628095009;1.9671838615840231;False;True;3;8;1920.004020829124;1519.4;14.0;1521.4;24.0;0.1279689879300118;2.1999669854892767;150.6220159916624;327.3095159916624;1381.084229871588;104.40699642291388;281.9069964229139;7.742995;57.7038;-2.0;True;00:08:00;2018-01-03 22:40:00;23;1;9;VX4BR;encs_south\2018-01\2018-01-01 - 2018-01-08;1;1.0;./img/248621000-235050837-VX4BR_-2.0.png;True
