Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
11;18;258296000;229061000;258296000;SEA CARGO EXPRESS;;9HA3034;0.0;119.0;0.0;;0.0;;0.0;0.0;8.609480406746032;1.962252449156746;True;False;8;8;4105.460074096441;;;;;0.0;0.0;True;True;11;16;2894.5976110678985;706.4;17.0;1221.8;0.0;-0.382366447438078;14.88665998524656;-175.3679217466413;358.1320782533587;1312.9814202798132;-145.35816725439452;73.5480827456055;5.33483;60.0371;-2.0;True;00:14:00;2019-01-01 07:29:00;16;1;15;3KDAF;encs_west;1;1.0;;
23;11;257287000;258841000;FJORDSOL;HAROYFJORD;LNPV;LDHE;20.0;123.12;;;;;0.0;0.0;7.634275173611111;3.2924444444444445;False;True;11;16;1250.964655775692;1315.9;0.0;1190.6;20.0;-6.6969166280214445;32.01645695791058;False;False;10;10;1499.6941188122344;;;;;0.0;0.0;-115.26800621622372;339.7319937837763;1140.496006130668;-103.98666628444992;239.2633337155501;5.74706;58.97435;-2.0;True;00:05:00;2019-01-01 20:49:00;13;8;13;3JHGF;encs_west;1;1.0;./img/257287000-258841000-3JHGF_-2.0.png;False
25;11;259386000;257144700;STAVANGERFJORD;BOKNAFJORD;LICY;3YQA;129.8;130.0;;;;;0.0;0.0;7.912798611111111;2.1397673611111108;False;True;2;9;1445.030259198746;319.9;5.0;1602.3;0.0;0.3401937385223066;17.24963043019087;False;True;2;9;1445.030259198746;319.9;5.0;1602.3;0.0;-0.4858005948425437;33.559664895461154;179.15964001829968;10.159640018299696;372.7262400207405;-120.06374715650054;86.18625284349943;5.572658;59.15258;-2.0;True;00:05:00;2019-01-01 20:42:00;6;1;6;3JHGF;encs_west;1;1.0;./img/259386000-257144700-3JHGF_-2.0.png;False
86;62;258031000;219011205;AQUA FJORD;ESVAGT CONTENDER;LMPG;OZAS2;60.0;48.0;;;;;0.0;0.0;5.797834821428571;3.138053695436508;False;True;7;12;437.98407505297087;278.0;8.0;1975.6;0.0;0.4172418904966273;-50.117515331508265;False;False;4;4;863.3275739833635;;;;;0.0;0.0;174.64522454479763;3.2702245447976392;362.5278472062352;-141.65539116529135;58.34460883470867;5.184412;60.388717;-2.0;True;00:07:00;2020-01-01 08:53:00;8;1;8;SPHYV;encs_west;2;2.0;./img/258031000-219011205-SPHYV_-2.0.png;False
94;62;314292000;258356000;SAMSKIP COMMANDER;FRAMFJORD;8PVT;LDXU3;101.0;67.1;;;;;0.0;0.0;6.978827401620369;4.359883174189815;False;True;7;13;1024.4444006387118;728.5;9.0;296.6;0.0;-0.5806127192774726;33.265286382658445;False;True;2;9;1849.8726983227791;163.8;13.0;660.8;0.0;-0.5542314562169639;40.68548264365418;-172.30914600780514;1.1908539921948882;259.6638596339544;-79.7162388074426;100.0337611925574;5.533423;59.090933;-2.0;True;00:12:00;2020-01-01 09:00:00;15;1;13;SPHYV;encs_west;2;2.0;./img/314292000-258356000-SPHYV_-2.0.png;False
108;25;257055930;257774600;HUFTAROY;UTNE;LEWQ;LCBJ;134.0;49.9;;;;;0.0;0.0;8.616944444444444;5.113095486111112;False;True;2;9;2306.8414098069247;1375.7;8.0;573.1;11.0;0.1432549624022829;12.21003911321596;False;False;6;6;1491.1388701257797;;;;;0.0;0.0;168.65899977990608;5.158999779906074;520.9942993929951;-120.45052952653846;69.92447047346158;5.323337;60.061667;-2.0;True;00:10:00;2020-01-01 10:13:00;12;1;11;6D5QA;encs_west;1;1.0;./img/257055930-257774600-6D5QA_-2.0.png;False
143;28;257028000;259405000;AMB RYGERVAKT;EIDSVAAG MARIN;LCWQ;JWLR;21.0;58.6;;;;;0.0;0.0;15.124666666666666;5.191467881944444;True;False;6;6;4373.988872871079;;;;;0.0;0.0;True;True;7;12;3664.0166866432287;799.1;9.0;1353.4;0.0;0.1159220636244784;-3.805278107393538;124.93329343726325;334.9332934372632;1151.535170978289;-144.96733040176989;81.57954459823009;5.19248;60.15565;-2.0;True;00:10:00;2020-01-01 11:30:00;12;1;11;NZY38;encs_west;1;1.0;;
163;28;311411000;266120000;311411000;FURE NORD;;SJKD;0.0;144.0;0.0;;0.0;;0.0;0.0;7.021362847222222;6.456679687499999;False;True;11;17;3164.7101115268047;3181.7;0.0;5284.6;0.0;-0.0753848537456529;28.86023422113663;False;False;9;9;3040.405502560471;;;;;0.0;0.0;-154.001007533839;326.59274246616104;2936.444920307552;-137.10619601235587;314.5188039876441;4.759911;60.839614;-2.0;True;00:06:00;2020-01-01 11:33:00;4;6;12;JAQSS;encs_west;1;1.0;./img/311411000-266120000-JAQSS_-2.0.png;False
219;36;258352500;257106900;ADMIRALEN;SEINES;LFJJ;LF5254;34.0;14.9;;;;;0.0;0.0;16.81590277777778;3.755042534722224;False;True;3;12;6958.314552389818;5206.7;7.0;1395.0;0.0;5.67540500504732;-49.06487622581984;False;False;7;7;3577.365021912075;;;;;0.0;0.0;-141.20083243749997;316.64291756250003;408.40749258553245;143.42556896638982;318.17556896638985;5.18982;60.1324;-2.0;True;00:10:00;2020-01-01 12:27:00;11;2;12;LQ2KJ;encs_west;1;1.0;./img/258352500-257106900-LQ2KJ_-2.0.png;False
222;19;257952600;257613890;KRISTIAN G.JEBSEN 2;;LECM;;17.0;;;;;;0.0;0.0;18.211333333333336;2.665063368055556;False;True;5;10;827.4628692575864;412.5;0.0;4994.2;0.0;0.7387655011060001;-38.82269451976284;False;True;3;12;2673.513381301841;1013.3;4.0;7146.5;0.0;-0.0451628636320649;0.0195082830894676;162.17982390637036;43.55482390637032;212.660410043809;-51.07364581212692;132.92635418787307;5.22042;60.3983;-2.0;True;00:05:00;2020-01-01 12:33:00;6;1;6;OWSRR;encs_west;3;4.0;./img/257952600-257613890-OWSRR_-2.0.png;False
