mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing,colreg_compliant,good_seamanship,unmodeled_behaviour,priority_lower,priority_similar,priority_higher
219347000,7250.43,5043.94,3660,0.245938,0,0.754062,0,0,0.980045,0.99011,7.92094e-06,0.0503954,0.899528,0.0500763
271002639,6522.24,18207.6,3660,0,0.245938,0.754062,0,0,0.979255,0.99009,6.79399e-06,0.0510062,0.89922,0.0497734
219347000,7140.81,5613.96,3720,0.163805,0,0.836195,0,0,0.980314,0.99006,7.5337e-06,0.0493212,0.90067,0.0500084
271002639,6510.35,17817.6,3720,0,0.163805,0.836195,0,0,0.979149,0.99035,0,0.0499921,0.899974,0.0500342
219347000,7028.85,6199.39,3780,0.225405,0,0.774595,0,0,0.979915,0.99007,1.48253e-05,0.0494595,0.900011,0.0505294
271002639,6497.48,17421.6,3780,0,0.225405,0.774595,0,0,0.978359,0.98988,0,0.0504618,0.893096,0.0564427
219347000,6919.3,6780.22,3840,0.225405,0,0.774595,0,0,0.979556,0.98975,0,0.0497965,0.900151,0.0500522
271002639,6475.74,17026,3840,0,0.225405,0.774595,0,0,0.975161,0.98997,6.30479e-06,0.0499345,0.886854,0.0632112
219347000,6819.21,7371.33,3900,0.102205,0,0.897795,0,0,0.979773,0.98985,1.54505e-05,0.0511784,0.899758,0.0490639
271002639,6471.84,16626.1,3900,0,0.102205,0.897795,0,0,0.972508,0.9897,1.53782e-05,0.0483362,0.881731,0.0699331
219347000,6710.72,7950.74,3960,0.153538,0,0.846462,0,0,0.979982,0.98999,7.63841e-06,0.0502587,0.89956,0.0501818
271002639,6459.06,16225.3,3960,0,0.153538,0.846462,0,0,0.968869,0.98983,8.35086e-06,0.0471947,0.875163,0.0776421
219347000,6602.46,8544.96,4020,0.174072,0,0.825928,0,0,0.980142,0.99052,0,0.050004,0.899138,0.0508576
271002639,6457.48,15828.7,4020,0,0.174072,0.825928,0,0,0.960951,0.98998,2.33243e-05,0.0469745,0.855514,0.0975114
219347000,6499.95,9134.27,4080,0,0,1,0,0,0.980295,0.98987,1.805e-05,0.0496366,0.900234,0.0501293
271002639,6520.79,15439.3,4080,0,0,1,0,0,0.956197,0.99036,0.000126162,0.0533424,0.944919,0.0017384
219347000,6391.28,9716.5,4140,0,0,1,0,0,0.980107,0.99044,6.00038e-06,0.0498973,0.900803,0.0492999
271002639,6598,15035.1,4140,0,0,1,0,0,0.957562,0.99022,2.45164e-05,0.0520659,0.945957,0.00197741
219347000,6283.62,10314.9,4200,0,0,1,0,0,0.981267,0.98977,1.84173e-05,0.0492749,0.900772,0.0499535
