mmsi,times,x,y,sog,cog
257062170,2021-01-08 08:22:00,8623.46934415381,3592.46767227307,13.6,40.6
257062170,2021-01-08 08:23:00,8935.90596905706,3862.56755292319,13.5,41.2
257062170,2021-01-08 08:24:00,9264.52403566923,4139.40007649804,13.4,40.2
257062170,2021-01-08 08:25:00,9563.61975397005,4399.48295112982,13.3,39.9
257062170,2021-01-08 08:26:00,9890.70427225734,4665.10452707925,13.4,37.8
257062170,2021-01-08 08:27:00,10211.2064185273,4909.23859669182,13.5,37.3
257062170,2021-01-08 08:28:00,10547.673352783,5165.77277989503,13.4,38.3
257062170,2021-01-08 08:29:00,10867.2168661143,5417.40094781267,13.2,37.2
257062170,2021-01-08 08:30:00,11185.6438582859,5656.13244226761,13,37
257062170,2021-01-08 08:31:00,11505.6478444492,5895.99928160835,12.9,37
257062170,2021-01-08 08:32:00,11821.4463473605,6143.40879434219,13.1,38.8
257062170,2021-01-08 08:33:00,12129.7026592631,6400.72274564587,13.2,39.3
257062170,2021-01-08 08:34:00,12433.554963603,6677.2500551937,13.3,50.6
257062170,2021-01-08 08:35:00,12697.1919628869,7003.9724831272,13.3,51.8
257062170,2021-01-08 08:36:00,12899.9423428161,7343.56172126036,13.5,63.3
257062170,2021-01-08 08:37:00,13079.8798308484,7734.49939109208,13.5,69.2
257062170,2021-01-08 08:38:00,13221.8501625106,8117.29092005229,13.4,76.8
257062170,2021-01-08 08:39:00,13211.5834298044,8508.81714981891,11.3,107.7
257062170,2021-01-08 08:40:00,13056.2262149324,8774.11370606746,9.2,130.7
257062170,2021-01-08 08:41:00,12843.3073449383,8908.21642002771,6.9,165.8
259299000,2021-01-08 08:22:00,8968.3326904751,144.242564218634,0.8,298.8
259299000,2021-01-08 08:23:00,8968.33270571033,144.635748778078,0.6,275.2
259299000,2021-01-08 08:24:00,8968.33274069122,145.534456342661,0.6,250.3
259299000,2021-01-08 08:25:00,8968.33277368314,146.376994684589,0.5,225.5
259299000,2021-01-08 08:26:00,8973.903954737,164.575576715369,3.1,36.2
259299000,2021-01-08 08:27:00,9032.41107592951,398.682285220791,8.2,80.9
259299000,2021-01-08 08:28:00,9029.68951754764,795.904784908085,24,95.2
259299000,2021-01-08 08:29:00,9101.19866632912,1735.67950502872,31.2,73
259299000,2021-01-08 08:30:00,9381.46488360984,2623.93534845231,30.8,59.3
259299000,2021-01-08 08:31:00,9947.50225627783,3412.78778473767,30.9,53.3
259299000,2021-01-08 08:32:00,10496.9615819236,4171.10021064871,30.9,54.3
259299000,2021-01-08 08:33:00,11073.5615693338,4948.1274186056,30.9,53.2
259299000,2021-01-08 08:34:00,11713.2823323069,5660.1013458742,30.7,46.3
259299000,2021-01-08 08:35:00,12360.5452678686,6337.41707129422,30.9,47
259299000,2021-01-08 08:36:00,12970.9810716403,7092.8946721481,31,54.5
259299000,2021-01-08 08:37:00,13455.3438132949,7900.78948324056,31.2,59.5
259299000,2021-01-08 08:38:00,13921.519870334,8764.61151450793,31.3,65.4
259299000,2021-01-08 08:39:00,14183.7004093697,9677.88139033563,31.3,75.4
259299000,2021-01-08 08:40:00,14423.9310940273,10628.8886945173,31.2,76.5
259299000,2021-01-08 08:41:00,14612.4144869101,11556.1555135566,31,79.4
