mmsi,times,x,y,sog,cog
210803000,2018-01-09 01:12:00,4729.61633458629,9653.69065380699,11.6,57
210803000,2018-01-09 01:13:00,4923.70123777642,9961.01732363042,11.6,56
210803000,2018-01-09 01:14:00,5110.77209725104,10260.0318685876,11.6,57.7
210803000,2018-01-09 01:15:00,5315.03487639679,10566.1395420183,11.6,58.1
210803000,2018-01-09 01:16:00,5502.14263232778,10862.171429998,11.6,57.5
210803000,2018-01-09 01:17:00,5698.32206458171,11168.6594669613,11.6,56.7
210803000,2018-01-09 01:18:00,5896.61542203085,11466.1562169368,11.5,59.1
210803000,2018-01-09 01:19:00,6067.57312255464,11777.3749907671,11.5,59.4
210803000,2018-01-09 01:20:00,6243.65610578051,12081.2689401904,11.5,60.6
210803000,2018-01-09 01:21:00,6422.78372632495,12389.9626193898,11.4,60.5
210803000,2018-01-09 01:22:00,6601.95175375132,12704.0013690712,11.5,60.8
210803000,2018-01-09 01:23:00,6767.97208650135,13008.6234054472,11.5,60.4
210803000,2018-01-09 01:24:00,6949.18654417951,13320.6913449838,11.6,60.3
210803000,2018-01-09 01:25:00,7125.61504154063,13626.4804641847,11.6,59.6
210803000,2018-01-09 01:26:00,7304.62347327449,13930.8613818153,11.7,60.3
210803000,2018-01-09 01:27:00,7498.08191808289,14252.29301446,11.7,58.7
210803000,2018-01-09 01:28:00,7663.22552471336,14559.2940931558,11.6,61.3
210803000,2018-01-09 01:29:00,7823.35092724935,14888.4881449069,11.4,68.1
210803000,2018-01-09 01:30:00,7955.97386360814,15212.269656184,11.6,67.2
210803000,2018-01-09 01:31:00,8095.13421610503,15549.5505403325,11.6,68.7
210803000,2018-01-09 01:32:00,8205.7986169299,15883.5786962305,11.6,72.9
210803000,2018-01-09 01:33:00,8313.42695178968,16231.2650992422,11.7,73
210803000,2018-01-09 01:34:00,8420.18978968244,16577.8627005433,11.8,73.5
210803000,2018-01-09 01:35:00,8523.9068355527,16934.7174667472,11.9,72.4
210803000,2018-01-09 01:36:00,8636.30609455331,17283.0446690591,11.9,73.1
210803000,2018-01-09 01:37:00,8743.28102361758,17632.0326222621,12,73.1
210803000,2018-01-09 01:38:00,8848.54572640447,17990.3767245455,12,73.2
210803000,2018-01-09 01:39:00,8971.31709048223,18346.3558956001,12.1,71.5
210803000,2018-01-09 01:40:00,9086.74395311579,18696.8590821706,12.1,71.4
210803000,2018-01-09 01:41:00,9208.705597264,19056.8566532617,12.2,71.5
210803000,2018-01-09 01:42:00,9328.07853541143,19404.4966856853,12.2,71.5
210803000,2018-01-09 01:43:00,9447.48017896841,19751.8776351384,12.2,71.5
210803000,2018-01-09 01:44:00,9566.8002779918,20099.2386703148,12.1,71.5
210803000,2018-01-09 01:45:00,9686.26157102205,20446.5786897965,12.1,71.5
210803000,2018-01-09 01:46:00,9805.7526847651,20793.8982335773,12.1,71.5
210803000,2018-01-09 01:47:00,9925.16224605836,21141.1978800067,12.1,71.5
210803000,2018-01-09 01:48:00,10044.7129932442,21488.4764701354,12,71.6
210803000,2018-01-09 01:49:00,10164.2935531279,21835.7345727247,12,71.6
210803000,2018-01-09 01:50:00,10283.9039230317,22182.9721838289,12,71.6
210803000,2018-01-09 01:51:00,10403.4327299388,22530.1899201586,12,71.6
210803000,2018-01-09 01:52:00,10523.1027119045,22877.3865460489,11.9,71.6
210803000,2018-01-09 01:53:00,10642.8024958689,23224.5626686208,11.9,71.6
210803000,2018-01-09 01:54:00,10762.4207089317,23571.7189333576,11.9,71.6
210803000,2018-01-09 01:55:00,10882.1800889135,23918.8540470536,11.9,71.6
210803000,2018-01-09 01:56:00,11001.9692628686,24265.9686456015,11.8,71.6
210803000,2018-01-09 01:57:00,11121.6768580203,24613.0634032594,11.8,71.6
210803000,2018-01-09 01:58:00,11236.3606633958,24953.3713944865,11.8,70.6
210803000,2018-01-09 01:59:00,11361.0152298954,25298.427545129,11.7,71.9
210803000,2018-01-09 02:00:00,11476.4540201596,25643.2826322748,11.8,70.7
210803000,2018-01-09 02:01:00,11595.2434021043,25984.9963870184,11.8,70.9
