mmsi,times,x,y,sog,cog
258217000,2019-01-11 02:30:00,18344.503754582,9852.36278489614,NaN,NaN
258217000,2019-01-11 02:31:00,18377.4921822947,9678.08294863598,6.4,281.4
258217000,2019-01-11 02:32:00,18414.4539850422,9485.32921343256,6.4,282.2
258217000,2019-01-11 02:33:00,18458.7727374866,9291.20062328338,6.5,282
258217000,2019-01-11 02:34:00,18502.6721908473,9104.47593702261,6.2,282.5
258217000,2019-01-11 02:35:00,18546.4551452484,8911.54086866446,6.5,282.7
258217000,2019-01-11 02:36:00,18591.5779833413,8715.88450435075,6.4,283.6
258217000,2019-01-11 02:37:00,18635.0533254991,8526.62828397103,6.3,282.9
258217000,2019-01-11 02:38:00,18680.2173666316,8341.75246962522,6.1,282.5
258217000,2019-01-11 02:39:00,18722.7290770836,8162.86401324413,6.2,285.2
258217000,2019-01-11 02:40:00,18777.50737179,7987.56517259102,5.8,285.3
258217000,2019-01-11 02:41:00,18818.921824346,7809.04212472764,6,283.2
258217000,2019-01-11 02:42:00,18863.1207554428,7626.37463759736,6,285.3
258217000,2019-01-11 02:43:00,18909.8008514899,7455.83907323764,5.8,284.8
258217000,2019-01-11 02:44:00,18955.2490859379,7277.61607289654,5.7,283.7
258217000,2019-01-11 02:45:00,18969.094271822,7110.6978068913,5.6,257.7
258217000,2019-01-11 02:46:00,18947.6357650352,6941.35635148999,5.4,264.4
258217000,2019-01-11 02:47:00,18928.425153917,6779.82138601777,5.2,265
258217000,2019-01-11 02:48:00,18905.8667682887,6610.41910617038,5.6,263.9
258217000,2019-01-11 02:49:00,18891.6630744818,6437.45049689667,5.6,262.4
258217000,2019-01-11 02:50:00,18871.9133928049,6274.3137991125,5.2,264.1
258217000,2019-01-11 02:51:00,18849.3870237049,6111.88995305556,5.4,262.4
258217000,2019-01-11 02:52:00,18838.004185096,5948.97424769373,5.3,269.4
258217000,2019-01-11 02:53:00,18837.7589573793,5781.42518096613,5.5,270.6
258217000,2019-01-11 02:54:00,18839.9734229727,5615.58898772701,5.3,272.1
258217000,2019-01-11 02:55:00,18859.5742382646,5453.22113138577,5.3,277.5
258217000,2019-01-11 02:56:00,18881.6342608402,5292.62712243597,5.5,274.9
258217000,2019-01-11 02:57:00,18892.5467151025,5119.26567366095,5.7,275.6
258217000,2019-01-11 02:58:00,18914.6117786482,4951.92802752525,5.6,277.8
258217000,2019-01-11 02:59:00,18936.683618404,4784.41468604965,5.5,275.3
258217000,2019-01-11 03:00:00,18947.6248053586,4616.91605458368,5.4,275.9
258217000,2019-01-11 03:01:00,18969.739383849,4475.20920382114,4.7,276.8
258217000,2019-01-11 03:02:00,18991.8398130088,4315.74949205288,5.3,277.3
258217000,2019-01-11 03:03:00,19005.5965378785,4159.37765116587,5.2,276.4
258217000,2019-01-11 03:04:00,19036.0634293632,4000.56375717486,5.1,279.6
258217000,2019-01-11 03:05:00,19058.1877997667,3846.37638558123,5,281.9
258217000,2019-01-11 03:06:00,19080.3197942989,3694.02530729869,5.1,276.7
258217000,2019-01-11 03:07:00,19102.4479720834,3530.78683409715,5.3,278.5
258217000,2019-01-11 03:08:00,19135.7267348083,3374.99738647068,5.2,290
258217000,2019-01-11 03:09:00,19257.1430436318,3259.43951153991,5.5,314.1
258217000,2019-01-11 03:10:00,19378.663650554,3130.57402282608,5.5,314.2
258217000,2019-01-11 03:11:00,19489.6090967404,3003.67704739028,5.6,314.3
258217000,2019-01-11 03:12:00,19613.259681795,2882.57685550803,5.3,313.9
258217000,2019-01-11 03:13:00,19721.0992676769,2762.67848310269,5.4,313
258217000,2019-01-11 03:14:00,19839.301539645,2644.37728876592,5.5,312.5
258217000,2019-01-11 03:15:00,19962.2933857625,2521.11002352818,5.5,315.6
258217000,2019-01-11 03:16:00,20075.4868951147,2396.19958409002,5.7,313.4
258217000,2019-01-11 03:17:00,20199.1546979303,2273.00601028345,5.6,314.2
258217000,2019-01-11 03:18:00,20319.9319689136,2152.54305358971,5.5,313.8
258217000,2019-01-11 03:19:00,20429.2383107992,2026.65046673112,5.2,309
258217000,2019-01-11 03:20:00,20523.2850455905,1890.30091179247,5.5,308.2
258217000,2019-01-11 03:21:00,20629.5974949823,1775.78140756754,4.9,309.2
258217000,2019-01-11 03:22:00,20719.5367285599,1651.33660856726,5.2,307.8
258217000,2019-01-11 03:23:00,20821.9497256332,1515.53500485286,5.7,308
258217000,2019-01-11 03:24:00,20931.0512112445,1383.40552261585,5.1,308.6
258217000,2019-01-11 03:25:00,21020.1076119654,1246.08420197995,5.4,304.1
258217000,2019-01-11 03:26:00,21125.0962733296,1111.13057712148,5.4,308
258217000,2019-01-11 03:27:00,21223.2964421021,980.030348652102,5.5,307.8
258217000,2019-01-11 03:28:00,21325.5108297211,850.591823872497,5.1,306.7
258217000,2019-01-11 03:29:00,21427.1765590859,743.221258583509,4.7,321.1
258217000,2019-01-11 03:30:00,21548.2286019017,659.628807235124,4.9,331.9
258217000,2019-01-11 03:31:00,21694.4597262645,617.259385364278,5,345.8
258217000,2019-01-11 03:32:00,21864.0850863463,606.174199583417,5.3,356.8
258217000,2019-01-11 03:33:00,22028.1416201564,594.854235693829,5.3,353.9
258217000,2019-01-11 03:34:00,22177.7166336184,565.619619755433,4.8,340.1
258217000,2019-01-11 03:35:00,22304.1193972448,488.966090188502,4.6,328.6
258217000,2019-01-11 03:36:00,22402.1231681,418.647356435205,4.2,324.9
258217000,2019-01-11 03:37:00,22522.6257842917,341.944156999963,4.6,325.9
258217000,2019-01-11 03:38:00,22647.4736249501,265.836569392473,4.6,331.5
258217000,2019-01-11 03:39:00,22798.6141042844,292.669312719996,5.5,27.3
258217000,2019-01-11 03:40:00,22910.0044696816,438.696110061869,NaN,NaN
258265000,2019-01-11 02:30:00,22999.9361588304,13608.1836880442,6.8,225
258265000,2019-01-11 02:31:00,22852.0439368584,13448.5183000698,7,225
258265000,2019-01-11 02:32:00,22706.9022390908,13310.2359011484,6.6,225.9
258265000,2019-01-11 02:33:00,22546.8099796096,13162.5911660672,6.9,221
258265000,2019-01-11 02:34:00,22381.7479790963,13026.2449370399,7,220.2
258265000,2019-01-11 02:35:00,22215.9037776274,12887.6428347561,6.8,220.6
258265000,2019-01-11 02:36:00,22068.4492217959,12751.395109863,7,222
258265000,2019-01-11 02:37:00,21900.7191334184,12612.1261035946,6.7,222.8
258265000,2019-01-11 02:38:00,21750.0324729607,12472.1416238415,7,220.8
258265000,2019-01-11 02:39:00,21589.9858235041,12329.1591376181,6.9,219
258265000,2019-01-11 02:40:00,21428.6474016567,12199.1811980306,6.9,221.2
258265000,2019-01-11 02:41:00,21268.622832693,12060.2573917907,6.3,232.6
258265000,2019-01-11 02:42:00,21201.2665904016,11883.0131079319,6.3,248.8
258265000,2019-01-11 02:43:00,21121.9801846198,11698.6997805575,6.4,248.2
258265000,2019-01-11 02:44:00,21066.5215123578,11508.9869215077,6.5,256.2
258265000,2019-01-11 02:45:00,21029.7409647388,11304.3097149852,6.7,255.1
258265000,2019-01-11 02:46:00,20976.2781896157,11104.6439200963,6.8,258.6
258265000,2019-01-11 02:47:00,20931.1650771633,10899.9811822121,6.8,257.1
258265000,2019-01-11 02:48:00,20897.2218745275,10703.4471745141,6.6,259.1
258265000,2019-01-11 02:49:00,20859.7188399631,10504.8488312028,6.5,259.3
258265000,2019-01-11 02:50:00,20818.223408891,10309.0965220693,6.6,260.9
258265000,2019-01-11 02:51:00,20778.0628643494,10108.900159024,6.6,261.4
258265000,2019-01-11 02:52:00,20747.9526059026,9915.30034263496,6.4,260.8
258265000,2019-01-11 02:53:00,20705.3739504745,9720.24906022313,6.4,261.1
258265000,2019-01-11 02:54:00,20671.5067966552,9531.32521255003,6.3,262.1
258265000,2019-01-11 02:55:00,20648.7593163801,9330.83655575184,6.5,266.8
258265000,2019-01-11 02:56:00,20637.1608717906,9130.91176243677,6.1,264.7
258265000,2019-01-11 02:57:00,20614.4748916074,8948.9945509141,6.1,265.1
258265000,2019-01-11 02:58:00,20591.7597908345,8749.97870439928,6.1,264.2
258265000,2019-01-11 02:59:00,20580.2157378167,8561.94015293023,6.1,265.7
258265000,2019-01-11 03:00:00,20557.5575801061,8380.96368769242,6,266
258265000,2019-01-11 03:01:00,20534.887508308,8190.16485859147,5.8,264
258265000,2019-01-11 03:02:00,20523.3975330084,8016.02435449872,5.7,265
258265000,2019-01-11 03:03:00,20488.0461817371,7824.35931211776,6.2,256.6
258265000,2019-01-11 03:04:00,20444.7111774855,7646.49045961504,6.1,254
258265000,2019-01-11 03:05:00,20398.2571481681,7464.12737881959,6.2,255
258265000,2019-01-11 03:06:00,20319.7358252511,7282.29178676936,6.3,244.8
258265000,2019-01-11 03:07:00,20253.2792540721,7116.10581966919,6,245.7
258265000,2019-01-11 03:08:00,20163.3279916897,6949.30437742171,6.2,236.8
258265000,2019-01-11 03:09:00,20050.0210743785,6798.15486624065,5.9,234
258265000,2019-01-11 03:10:00,19939.2915511735,6653.02759706565,5.5,232.3
258265000,2019-01-11 03:11:00,19848.3847373698,6503.18568504593,5.6,233.8
258265000,2019-01-11 03:12:00,19738.5582482845,6358.86988576387,5.6,234.9
258265000,2019-01-11 03:13:00,19638.0967319551,6217.19434655673,5.9,234
258265000,2019-01-11 03:14:00,19526.7195013412,6071.68198878495,5.8,233.4
258265000,2019-01-11 03:15:00,19415.9032249045,5925.33224171363,6,233.3
258265000,2019-01-11 03:16:00,19303.5264648491,5774.42001615564,6.1,235.2
258265000,2019-01-11 03:17:00,19213.7580327361,5618.61490490172,5.9,235
258265000,2019-01-11 03:18:00,19100.6034466225,5460.52673128836,5.9,235
258265000,2019-01-11 03:19:00,18990.600958071,5323.02061718654,6.1,235.9
258265000,2019-01-11 03:20:00,18899.7333649623,5164.88648575906,5.9,235.2
258265000,2019-01-11 03:21:00,18790.1747546895,5017.95444372832,6.1,236.8
258265000,2019-01-11 03:22:00,18672.6993684776,4859.12755989029,6.4,233.4
258265000,2019-01-11 03:23:00,18565.3658308845,4700.51618399136,6.3,235
258265000,2019-01-11 03:24:00,18455.2583300703,4545.56919550107,6.1,234.9
258265000,2019-01-11 03:25:00,18355.0733623562,4394.27262774362,5.8,236
258265000,2019-01-11 03:26:00,18247.7650807119,4242.08815249927,6,234.6
258265000,2019-01-11 03:27:00,18150.7185988281,4099.06008723121,5.7,233.8
258265000,2019-01-11 03:28:00,18040.3081986434,3952.1313914142,6,234
258265000,2019-01-11 03:29:00,17927.673869406,3803.30239089609,5.7,233
258265000,2019-01-11 03:30:00,17840.3375359702,3665.39363487164,6.2,234.7
258265000,2019-01-11 03:31:00,17728.4939270173,3517.02203396669,6.2,234
258265000,2019-01-11 03:32:00,17618.9889627864,3361.77276264216,6.2,234
258265000,2019-01-11 03:33:00,17507.2605537827,3204.08943657468,6.1,235.9
258265000,2019-01-11 03:34:00,17394.3127694482,3045.80618435801,5.7,232.3
258265000,2019-01-11 03:35:00,17284.4983341302,2899.35308572672,5.9,234.8
258265000,2019-01-11 03:36:00,17171.0172580675,2757.86797947056,5.8,234.2
258265000,2019-01-11 03:37:00,17073.3535489941,2611.62772136957,5.8,234
258265000,2019-01-11 03:38:00,16960.9910626361,2461.42221030442,5.9,235
258265000,2019-01-11 03:39:00,16850.4188355562,2315.7074321168,5.8,234
258265000,2019-01-11 03:40:00,16740.2981918325,2171.40551359462,5.9,235
