mmsi,times,x,y,sog,cog
258465000,2018-09-10 15:56:00,8125.27187587919,18978.8548318018,NaN,NaN
258465000,2018-09-10 15:57:00,8051.60046301481,18768.849545328,13.5,250.4
258465000,2018-09-10 15:58:00,7906.67720680536,18375.2859193379,13.4,250.3
258465000,2018-09-10 15:59:00,7768.52144860936,17987.4637401597,13.5,250.4
258465000,2018-09-10 16:00:00,7631.49594467624,17593.9406214066,13.5,250.2
258465000,2018-09-10 16:01:00,7485.62475640223,17204.8805857592,13.5,250.6
258465000,2018-09-10 16:02:00,7348.70083427707,16812.6049616435,13.4,250.4
258465000,2018-09-10 16:03:00,7205.70105208992,16421.743070977,13.5,250.3
258465000,2018-09-10 16:04:00,7043.10270539326,16047.7817276629,13.4,241.6
258465000,2018-09-10 16:05:00,6825.88429512879,15687.3965342527,13.3,239.8
258465000,2018-09-10 16:06:00,6627.28119160722,15342.2996255285,13.3,239.4
258465000,2018-09-10 16:07:00,6414.61654480597,14985.4924283983,13.2,240.4
258465000,2018-09-10 16:08:00,6213.49278026249,14633.2904412703,13.2,243.1
258465000,2018-09-10 16:09:00,6080.26510533853,14250.2981659864,13.1,257.3
258465000,2018-09-10 16:10:00,6034.50500705798,13849.3505158948,13.2,266.4
258465000,2018-09-10 16:11:00,6002.13396959633,13439.6873348833,13.3,264.8
258465000,2018-09-10 16:12:00,5962.79691258121,13031.1570612236,13.3,265
258465000,2018-09-10 16:13:00,5920.87517097609,12632.692987247,13.1,264.1
258465000,2018-09-10 16:14:00,5870.59945553449,12222.7682556848,13.1,259.5
258465000,2018-09-10 16:15:00,5745.16658918556,11851.3963744313,13,245
258465000,2018-09-10 16:16:00,5561.96377107794,11490.4691713727,13.1,242.4
258465000,2018-09-10 16:17:00,5375.46861442636,11132.8516492721,13.2,244.2
258465000,2018-09-10 16:18:00,5202.8221763507,10771.5553107271,13.2,243.8
258465000,2018-09-10 16:19:00,5024.98464498605,10412.5647632993,13.1,243.5
258465000,2018-09-10 16:20:00,4842.92683765316,10045.6548740683,13.1,243.7
258465000,2018-09-10 16:21:00,4666.84487855596,9687.74378812605,13.2,243.4
258465000,2018-09-10 16:22:00,4480.16330312069,9312.31567950805,13.1,244
258465000,2018-09-10 16:23:00,4299.9238987847,8953.37517884864,13.1,243.8
258465000,2018-09-10 16:24:00,4110.33461946843,8584.29788926014,13.2,244
258465000,2018-09-10 16:25:00,3933.85934637159,8227.44329167388,13.1,243.8
258465000,2018-09-10 16:26:00,3751.82886496065,7861.75657262035,12.9,243.9
259883000,2018-09-10 15:56:00,4338.16328819618,9352.39707510924,NaN,NaN
259883000,2018-09-10 15:57:00,4394.26023508936,9478.74791172928,9,64.7
259883000,2018-09-10 15:58:00,4504.45286129634,9728.2039529836,9,65.2
259883000,2018-09-10 15:59:00,4620.70544465206,9984.75937230903,9,65.8
259883000,2018-09-10 16:00:00,4742.08003906286,10233.1844849151,9,65.7
259883000,2018-09-10 16:01:00,4856.37268070658,10491.7335017826,9,68.5
259883000,2018-09-10 16:02:00,4966.65253536717,10744.0037879845,9,67.3
259883000,2018-09-10 16:03:00,5079.98743053073,11003.9370569163,9,67.4
259883000,2018-09-10 16:04:00,5193.21885975824,11260.159402157,9,66.5
259883000,2018-09-10 16:05:00,5292.53078836071,11514.4402412057,9.1,68.6
259883000,2018-09-10 16:06:00,5394.8069332737,11781.494060125,9,69.9
259883000,2018-09-10 16:07:00,5482.93439747606,12044.5365681828,9.1,74.2
259883000,2018-09-10 16:08:00,5560.94089843104,12307.8055936286,9.1,72.6
259883000,2018-09-10 16:09:00,5608.60171199584,12587.2152784391,9.1,83.9
259883000,2018-09-10 16:10:00,5652.36256845043,12860.8656034607,9.1,81.4
259883000,2018-09-10 16:11:00,5709.99116980881,13140.2699372755,9.1,77.6
259883000,2018-09-10 16:12:00,5790.23749231691,13411.5789759703,9.1,68.6
259883000,2018-09-10 16:13:00,5891.64371379248,13673.1751387179,9.2,68.1
259883000,2018-09-10 16:14:00,5993.07748602012,13936.2724016213,9.2,67.8
259883000,2018-09-10 16:15:00,6096.55630256619,14203.3401711104,9.2,68.4
259883000,2018-09-10 16:16:00,6218.28094360057,14457.7667639584,9.2,64.5
259883000,2018-09-10 16:17:00,6332.9164612273,14717.6180464462,9.2,65.1
259883000,2018-09-10 16:18:00,6454.67693868143,14971.0460504641,9.2,65.5
259883000,2018-09-10 16:19:00,6580.50673080886,15232.325261634,9.2,65.2
259883000,2018-09-10 16:20:00,6702.30975628275,15486.220403054,9.2,65.6
259883000,2018-09-10 16:21:00,6824.13531275007,15740.6527664498,9.2,64.5
259883000,2018-09-10 16:22:00,6950.04166667905,16004.8558501179,9.2,66.1
259883000,2018-09-10 16:23:00,7071.45263391325,16257.3808321217,9.2,65.6
259883000,2018-09-10 16:24:00,7188.58375397754,16519.2628065428,9.1,65.9
259883000,2018-09-10 16:25:00,7299.43989399295,16770.6418747175,9.1,65.4
259883000,2018-09-10 16:26:00,7425.28410021614,17028.1946591182,9,65.6
