mmsi,times,x,y,sog,cog
248375000,2018-09-12 04:17:00,17551.0291777645,7489.58284978194,8.7,212.6
248375000,2018-09-12 04:18:00,17319.6381962276,7355.26990454974,8.6,212.8
248375000,2018-09-12 04:19:00,17093.3565448327,7210.33719925497,8.6,211.8
248375000,2018-09-12 04:20:00,16873.1121457058,7070.44133641046,8.6,214.5
248375000,2018-09-12 04:21:00,16649.8571136752,6927.25119143166,8.5,213.1
248375000,2018-09-12 04:22:00,16423.5955978299,6782.50592707931,8.6,213.9
248375000,2018-09-12 04:23:00,16203.3644156251,6639.81591248612,8.6,213.6
248375000,2018-09-12 04:24:00,15968.9808913424,6496.0906801915,8.7,211.1
248375000,2018-09-12 04:25:00,15749.7669415722,6353.90538430337,8.6,213.8
248375000,2018-09-12 04:26:00,15525.874261798,6209.96882752252,8.7,213.6
248375000,2018-09-12 04:27:00,15288.1558653242,6060.76591442985,8.9,212.4
248375000,2018-09-12 04:28:00,15057.8092501644,5915.70540973066,8.7,213.7
248375000,2018-09-12 04:29:00,14830.588632281,5769.62326300456,8.7,213.2
248375000,2018-09-12 04:30:00,14612.9677235864,5627.23453141712,8.6,212.5
248375000,2018-09-12 04:31:00,14395.3438074045,5479.35340690326,8.5,210.9
248375000,2018-09-12 04:32:00,14175.1717354771,5336.68078552386,8.5,214.1
248375000,2018-09-12 04:33:00,13948.9753978171,5187.03174456375,8.5,214.2
248375000,2018-09-12 04:34:00,13728.8156330282,5043.77141551221,8.6,212.4
248375000,2018-09-12 04:35:00,13505.9856290187,4899.54977152652,8.7,213.7
248375000,2018-09-12 04:36:00,13279.4774703131,4751.13264047071,8.6,214
248375000,2018-09-12 04:37:00,13059.3417457426,4610.79839373207,8.6,214.2
248375000,2018-09-12 04:38:00,12833.181878348,4462.58825549104,8.5,214.1
248375000,2018-09-12 04:39:00,12630.0871857382,4302.52769202817,8.2,230.1
248375000,2018-09-12 04:40:00,12495.4813288744,4085.80395166073,8.4,237.2
248375000,2018-09-12 04:41:00,12364.2358070279,3870.30247153802,8.3,247.2
248375000,2018-09-12 04:42:00,12257.2663085787,3620.65138071617,8.6,241.2
248375000,2018-09-12 04:43:00,12091.3969076325,3416.05556581854,8.9,229.3
248375000,2018-09-12 04:44:00,11869.4994781241,3239.13000182408,9.2,214.4
248375000,2018-09-12 04:45:00,11629.3467899109,3078.68003291511,9.3,213.7
248375000,2018-09-12 04:46:00,11387.8608176312,2914.07364344371,9.4,214
248375000,2018-09-12 04:47:00,11136.9082862439,2749.20143373722,9.5,213.6
248375000,2018-09-12 04:48:00,10895.1120516487,2593.21148642527,9.6,211.1
248375000,2018-09-12 04:49:00,10635.0452766164,2440.79830171416,9.7,209.2
248375000,2018-09-12 04:50:00,10382.5712315113,2295.97665714274,9.6,210.4
248375000,2018-09-12 04:51:00,10122.0727420197,2143.26587392297,9.7,210.1
248375000,2018-09-12 04:52:00,9869.27502435823,1993.76388967573,9.8,210.5
248375000,2018-09-12 04:53:00,9601.99502067447,1847.08677656575,9.8,208.2
248375000,2018-09-12 04:54:00,9330.37182961357,1695.30445397796,9.9,210.4
248375000,2018-09-12 04:55:00,9066.78503987067,1550.36984539889,9.9,209.4
248375000,2018-09-12 04:56:00,8784.03335691056,1408.01145147732,9.9,207.1
248375000,2018-09-12 04:57:00,8520.46211006044,1268.95983636273,10,206.5
248375000,2018-09-12 04:58:00,8237.72280190927,1125.60495434546,10,207.2
248375000,2018-09-12 04:59:00,7974.38712737427,987.104358431899,9.9,206.5
248375000,2018-09-12 05:00:00,7702.5839122155,841.104450655052,10,207
