mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
248375000,17093.4,7210.34,120,0.980282,0.98992,8.76981e-06,0,1,0,0,0,0.0495179,0.900477,0.0500047
257787000,19641,1040.62,120,0.980204,0.98992,0,1,0,0,0,0,0.0505022,0.899298,0.0501996
248375000,16873.1,7070.44,180,0.980221,0.98969,8.39822e-06,0,1,0,0,0,0.0495223,0.90026,0.050218
257787000,19278.8,1120.87,180,0.979095,0.98971,9.92532e-06,1,0,0,0,0,0.0497566,0.899823,0.0504206
248375000,16649.9,6927.25,240,0.979524,0.99025,0,0,1,0,0,0,0.0498581,0.899942,0.0502002
257787000,18919.3,1207.29,240,0.979455,0.99017,9.92551e-06,1,0,0,0,0,0.05004,0.901528,0.0484316
248375000,16423.6,6782.51,300,0.980099,0.99029,8.2124e-06,0,1,0,0,0,0.0486265,0.901793,0.0495806
257787000,18567.3,1281.11,300,0.979404,0.99,2.97515e-05,1,0,0,0,0,0.0501591,0.90038,0.0494614
248375000,16203.4,6639.82,360,0.97928,0.98982,0,0,1,0,0,0,0.0493798,0.901109,0.0495113
257787000,18193.3,1364.6,360,0.979704,0.98999,9.909e-06,1,0,0,0,0,0.0493123,0.899796,0.0508916
248375000,15969,6496.09,420,0.979671,0.98983,0,0,1,0,0,0,0.0502854,0.899893,0.0498213
257787000,17839.1,1441.44,420,0.979876,0.98988,9.90902e-06,1,0,0,0,0,0.0495761,0.899483,0.0509411
248375000,15749.8,6353.91,480,0.980051,0.99029,1.49471e-05,0,1,0,0,0,0.0495619,0.900043,0.0503947
257787000,17468.8,1527.45,480,0.979986,0.99029,9.88429e-06,1,0,0,0,0,0.0510111,0.89908,0.0499093
248375000,15525.9,6209.97,540,0.97999,0.99041,7.46947e-06,0,1,0,0,0,0.0517341,0.898416,0.0498498
257787000,17101.1,1604.88,540,0.980107,0.98964,0,1,0,0,0,0,0.0493677,0.900863,0.0497691
248375000,15288.2,6060.77,600,0.980372,0.98965,7.28206e-06,0,1,0,0,0,0.0506393,0.899851,0.0495098
257787000,16731.4,1686.65,600,0.979906,0.99025,9.87623e-06,1,0,0,0,0,0.0501238,0.900856,0.0490201
248375000,15057.8,5915.71,660,0.979789,0.99034,7.09649e-06,0,1,0,0,0,0.0497941,0.899266,0.0509402
257787000,16354.2,1765.51,660,0.980446,0.99002,0,1,0,0,0,0,0.0506947,0.899196,0.0501095
248375000,14830.6,5769.62,720,0.980039,0.98975,2.75984e-05,0,1,0,0,0,0.0492701,0.900852,0.049878
257787000,15989.2,1847.17,720,0.980196,0.99002,0,1,0,0,0,0,0.0490735,0.899595,0.0513315
248375000,14613,5627.23,780,0.980033,0.98957,0,0,1,0,0,0,0.0513523,0.897896,0.0507516
257787000,15618.6,1926.81,780,0.979799,0.98987,0,1,0,0,0,0,0.0510202,0.898506,0.0504737
248375000,14395.3,5479.35,840,0.979995,0.98972,2.53064e-05,0,1,0,0,0,0.0505574,0.898299,0.0511439
257787000,15260.7,2006.81,840,0.980462,0.99002,0,1,0,0,0,0,0.0497184,0.901295,0.0489862
