mmsi,times,x,y,sog,cog
248375000,2018-09-12 04:17:00,22400.6473916101,17620.9990881958,8.7,212.6
248375000,2018-09-12 04:18:00,22267.4214507918,17388.98182604,8.6,212.8
248375000,2018-09-12 04:19:00,22123.5519445994,17162.0241187998,8.6,211.8
248375000,2018-09-12 04:20:00,21984.6908699179,16941.127178766,8.6,214.5
248375000,2018-09-12 04:21:00,21842.5496551069,16717.2042157918,8.5,213.1
248375000,2018-09-12 04:22:00,21698.8674140545,16490.2675212491,8.6,213.9
248375000,2018-09-12 04:23:00,21557.2120946816,16269.3707162844,8.6,213.6
248375000,2018-09-12 04:24:00,21414.5878898505,16034.3168778454,8.7,211.1
248375000,2018-09-12 04:25:00,21273.4324610358,15814.4396570007,8.6,213.8
248375000,2018-09-12 04:26:00,21130.5477056271,15589.8755584598,8.7,213.6
248375000,2018-09-12 04:27:00,20982.4614581089,15351.4612390783,8.9,212.4
248375000,2018-09-12 04:28:00,20838.4829706735,15120.4380137946,8.7,213.7
248375000,2018-09-12 04:29:00,20693.4681780024,14892.5359683473,8.7,213.2
248375000,2018-09-12 04:30:00,20552.1017204447,14674.2508183602,8.6,212.5
248375000,2018-09-12 04:31:00,20405.2429455662,14455.9369468252,8.5,210.9
248375000,2018-09-12 04:32:00,20263.6045099506,14235.0993323767,8.5,214.1
248375000,2018-09-12 04:33:00,20115.0179734187,14008.2048563458,8.5,214.2
248375000,2018-09-12 04:34:00,19972.7917302276,13787.3767972772,8.6,212.4
248375000,2018-09-12 04:35:00,19829.6166763474,13563.8740275832,8.7,213.7
248375000,2018-09-12 04:36:00,19682.2634125335,13336.673501242,8.6,214
248375000,2018-09-12 04:37:00,19542.9630169361,13115.8831811493,8.6,214.2
248375000,2018-09-12 04:38:00,19395.8150576565,12889.0319112642,8.5,214.1
248375000,2018-09-12 04:39:00,19236.7087350518,12685.1900822741,8.2,230.1
248375000,2018-09-12 04:40:00,19020.6191116638,12549.5710544828,8.4,237.2
248375000,2018-09-12 04:41:00,18805.7359586336,12417.3180471138,8.3,247.2
248375000,2018-09-12 04:42:00,18556.5899215937,12309.1809166298,8.6,241.2
248375000,2018-09-12 04:43:00,18352.7744770034,12142.3554675361,8.9,229.3
248375000,2018-09-12 04:44:00,18176.8914002953,11919.6321498098,9.2,214.4
248375000,2018-09-12 04:45:00,18017.5691894528,11678.7309082869,9.3,213.7
248375000,2018-09-12 04:46:00,17854.0968365468,11436.476937901,9.4,214
248375000,2018-09-12 04:47:00,17690.4029948461,11184.755267668,9.5,213.6
248375000,2018-09-12 04:48:00,17535.5483480902,10942.2313783097,9.6,211.1
248375000,2018-09-12 04:49:00,17384.3559909862,10681.4538943803,9.7,209.2
248375000,2018-09-12 04:50:00,17240.7194539755,10428.3045987681,9.6,210.4
248375000,2018-09-12 04:51:00,17089.2314599257,10167.0940116771,9.7,210.1
248375000,2018-09-12 04:52:00,16940.9161040128,9913.5991346948,9.8,210.5
248375000,2018-09-12 04:53:00,16795.4934006118,9645.63535581649,9.8,208.2
248375000,2018-09-12 04:54:00,16644.9858754175,9373.30453576102,9.9,210.4
248375000,2018-09-12 04:55:00,16501.2882797216,9109.04208814202,9.9,209.4
248375000,2018-09-12 04:56:00,16360.256616116,8825.62701862442,9.9,207.1
248375000,2018-09-12 04:57:00,16222.4417895678,8561.40765632093,10,206.5
248375000,2018-09-12 04:58:00,16080.4135225735,8278.00029599305,10,207.2
248375000,2018-09-12 04:59:00,15943.1485366387,8014.01908300265,9.9,206.5
248375000,2018-09-12 05:00:00,15798.423978416,7741.53531220138,10,207
248375000,2018-09-12 05:01:00,15665.6023167514,7466.88723269598,9.9,205.3
248375000,2018-09-12 05:02:00,15530.0344555116,7198.47385341294,9.8,207
248375000,2018-09-12 05:03:00,15399.5546084148,6914.70804518092,9.9,205.2
248375000,2018-09-12 05:04:00,15270.0096968286,6649.56774277629,9.6,206.1
248375000,2018-09-12 05:05:00,15132.2915085132,6378.37478047684,9.6,209
248375000,2018-09-12 05:06:00,14994.9191359579,6124.13300927949,9.7,207.2
257787000,2018-09-12 04:17:00,15778.0576258057,20382.2501638449,NaN,NaN
257787000,2018-09-12 04:18:00,15855.8507065653,20039.081213688,12,166.5
257787000,2018-09-12 04:19:00,15941.9815297929,19680.7957840357,11.9,166.3
257787000,2018-09-12 04:20:00,16023.9268247184,19318.9245253801,11.9,165.6
257787000,2018-09-12 04:21:00,16112.0367665024,18959.8733700974,11.9,167.6
257787000,2018-09-12 04:22:00,16187.507487216,18608.2289664016,11.8,169
257787000,2018-09-12 04:23:00,16272.7478503677,18234.5649127431,12,167
257787000,2018-09-12 04:24:00,16351.2460489333,17880.710461622,12,168.2
257787000,2018-09-12 04:25:00,16438.9898334007,17510.8537695106,12.1,166.1
257787000,2018-09-12 04:26:00,16518.1403236084,17143.518775541,12.2,168.2
257787000,2018-09-12 04:27:00,16601.6443760097,16774.2019667258,12.4,167.8
257787000,2018-09-12 04:28:00,16682.2728832529,16397.4037185577,12.2,168
257787000,2018-09-12 04:29:00,16765.640722536,16032.7723320372,12.1,167.6
257787000,2018-09-12 04:30:00,16847.0176096052,15662.5590471533,12,166.9
257787000,2018-09-12 04:31:00,16928.6935222742,15305.0571884312,11.9,166.6
257787000,2018-09-12 04:32:00,17006.5766181294,14943.8586470129,11.9,168.8
257787000,2018-09-12 04:33:00,17085.0259489636,14582.330653269,11.9,168.3
257787000,2018-09-12 04:34:00,17158.8689005684,14220.1109922551,11.9,168.8
257787000,2018-09-12 04:35:00,17230.5600643153,13863.1205950895,12,169.3
257787000,2018-09-12 04:36:00,17304.7818187025,13501.2408371249,12.1,168.7
257787000,2018-09-12 04:37:00,17383.2119074578,13128.2386481452,12,168.5
257787000,2018-09-12 04:38:00,17461.8607732571,12773.0750139529,11.6,167.8
257787000,2018-09-12 04:39:00,17541.3355081976,12415.6884615137,11.7,167.3
257787000,2018-09-12 04:40:00,17619.9067162277,12062.7577721947,11.7,168.2
257787000,2018-09-12 04:41:00,17700.882878973,11701.2591055128,11.8,166.4
257787000,2018-09-12 04:42:00,17782.2125868903,11359.9407661589,11.8,168.2
257787000,2018-09-12 04:43:00,17862.7011330737,10993.9846956773,11.7,169.1
257787000,2018-09-12 04:44:00,17950.3448163308,10634.4247692085,12.1,165.7
257787000,2018-09-12 04:45:00,18047.0997942321,10270.4599244248,12.3,166.2
257787000,2018-09-12 04:46:00,18141.5726713532,9899.79679239222,12.2,167.3
257787000,2018-09-12 04:47:00,18240.8774608791,9533.17703017732,12.3,164.5
257787000,2018-09-12 04:48:00,18347.3493696208,9172.06361598003,12.5,163.4
257787000,2018-09-12 04:49:00,18455.3327785996,8803.60540065736,12.3,164.9
257787000,2018-09-12 04:50:00,18561.7978743961,8443.27939230859,12,163.4
257787000,2018-09-12 04:51:00,18669.784653125,8082.51994163823,12.3,163.4
257787000,2018-09-12 04:52:00,18786.2389270922,7710.33241604146,12.6,162.8
257787000,2018-09-12 04:53:00,18899.1362222402,7337.01337675213,12.7,162.9
257787000,2018-09-12 04:54:00,19004.3822530789,6971.56724257115,12.5,164.6
257787000,2018-09-12 04:55:00,19115.1787526791,6599.35805186327,12.3,164.4
257787000,2018-09-12 04:56:00,19228.8332115051,6237.20226880413,12.7,162.1
257787000,2018-09-12 04:57:00,19339.7799886855,5865.00176570527,12.3,166.2
257787000,2018-09-12 04:58:00,19445.1518975847,5494.77767550812,12.4,165.1
257787000,2018-09-12 04:59:00,19554.3514928613,5122.68547126664,12.5,164
257787000,2018-09-12 05:00:00,19660.4407615977,4757.26611993922,12.5,165.5
257787000,2018-09-12 05:01:00,19764.7994141606,4376.90252570889,12.6,163.4
257787000,2018-09-12 05:02:00,19871.2537625919,3992.54242859009,12.7,164.7
257787000,2018-09-12 05:03:00,19970.3747064871,3627.31305030436,12.7,165.9
257787000,2018-09-12 05:04:00,20073.8454690068,3248.73757813557,12.6,164.9
257787000,2018-09-12 05:05:00,20172.1815251548,2872.58544804399,12.6,164.8
257787000,2018-09-12 05:06:00,20266.7200144733,2500.31378184714,12.4,165.6
